priority_score,id,type,name,address,primary_source_url,source_updated_at,missing_fields,stale_enrichment_fields,wikivoyage_listing_id,wikivoyage_source_url,match_score,queue_basis
31,osm_node_3893467765,stay,Funtastic Beach Hostel,,https://www.openstreetmap.org/node/3893467765,2015-12-15T14:08:58Z,price_text;opening_hours;address;phone;website,address;phone;price_text,wv_57a04841f713de1e,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.9945,heuristic gaps + attributable-source match; not popularity
29,osm_node_3159486161,stay,Funtastic Danang Hostel,,https://www.openstreetmap.org/node/3159486161,2014-10-31T16:24:14Z,price_text;opening_hours;address;phone;website,address;price_text,wv_3cc622e7086af5d6,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.7784,heuristic gaps + attributable-source match; not popularity
27,osm_node_729406613,eat,Cafe Hai Quynh,,https://www.openstreetmap.org/node/729406613,2010-05-11T02:52:25Z,price_text;opening_hours;address;phone;website,address,wv_08c360246c829350,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.9175,heuristic gaps + attributable-source match; not popularity
27,osm_node_729406832,eat,DoNa Coffee,,https://www.openstreetmap.org/node/729406832,2011-06-22T08:12:51Z,price_text;opening_hours;address;phone;website,address,wv_936037ece8718730,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.7492,heuristic gaps + attributable-source match; not popularity
27,osm_node_7095169374,stay,Night Sky Hotel,,https://www.openstreetmap.org/node/7095169374,2019-12-30T08:42:03Z,price_text;opening_hours;address;phone;website,price_text,wv_008c8ab1c30725ea,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.9964,heuristic gaps + attributable-source match; not popularity
27,osm_node_10314394709,stay,Radisson,170 Vo Nguyen Giap,https://www.openstreetmap.org/node/10314394709,2026-03-02T15:52:02Z,price_text;opening_hours;phone;website,phone;price_text,wv_601278fcba547b0b,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.7663,heuristic gaps + attributable-source match; not popularity
27,osm_node_7095281754,stay,Đại Á,"51, Yen Bai St, Hai Chau District",https://www.openstreetmap.org/node/7095281754,2019-12-30T09:50:06Z,price_text;opening_hours;phone;website,phone;price_text,wv_5a6c86eb5ed5b71d,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.8998,heuristic gaps + attributable-source match; not popularity
26,osm_node_5429221882,eat,Memory Lounge,"7 Bạch Đằng, Đà Nẵng",https://www.openstreetmap.org/node/5429221882,2023-01-07T16:46:08Z,price_text;opening_hours;phone,opening_hours;phone,wv_62880c5ed2308484,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.9968,heuristic gaps + attributable-source match; not popularity
26,osm_way_164333079,stay,Tia Wellness Resort,Vo Nguyen Giap St,https://www.openstreetmap.org/way/164333079,2023-01-06T03:22:29Z,price_text;opening_hours;phone,phone;price_text,wv_e8743c29233c6deb,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.912,heuristic gaps + attributable-source match; not popularity
25,osm_node_2147660614,eat,Bamboo 2,,https://www.openstreetmap.org/node/2147660614,2024-09-13T15:32:06Z,price_text;opening_hours;address;phone;website,,wv_3fc32ae008bd3b53,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.8457,heuristic gaps + attributable-source match; not popularity
24,osm_node_6152685685,eat,Bún Mắm Vân,K23/14 Trần Kế Xương,https://www.openstreetmap.org/node/6152685685,2018-12-21T23:56:30Z,price_text;phone;website,phone;price_text,wv_9b249f01c20ca582,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.9894,heuristic gaps + attributable-source match; not popularity
24,osm_node_10295139993,eat,Limoncello,212 Đường Trần Phú,https://www.openstreetmap.org/node/10295139993,2022-12-30T15:36:43Z,price_text;opening_hours;phone,opening_hours,wv_e41c9ac18a5563e7,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.947,heuristic gaps + attributable-source match; not popularity
24,osm_way_630840063,stay,Grand Tourane Hotel,252 Đường Võ Nguyên Giáp,https://www.openstreetmap.org/way/630840063,2025-06-14T16:23:47Z,price_text;opening_hours;phone,price_text,wv_b28895d648960b92,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.9469,heuristic gaps + attributable-source match; not popularity
24,osm_way_164333086,stay,Hyatt Regency Resort and Spa,"5 Đường Trường Sa, Danang",https://www.openstreetmap.org/way/164333086,2025-10-06T09:05:44Z,price_text;opening_hours;phone,price_text,wv_14be188af0a88179,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.7366,heuristic gaps + attributable-source match; not popularity
23,osm_node_12848643539,eat,Alo Coffee,89 Hoàng Kế Viêm,https://www.openstreetmap.org/node/12848643539,2025-05-19T10:37:12Z,price_text;opening_hours;phone;website,,wv_d3f672640c715c85,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.7856,heuristic gaps + attributable-source match; not popularity
23,osm_node_5947469391,eat,com ga,"100 Thái Phiên, Phước Ninh, Hải Châu",https://www.openstreetmap.org/node/5947469391,2018-10-02T03:32:46Z,price_text;opening_hours;phone;website,,wv_bb60ed14c00819ff,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.7325,heuristic gaps + attributable-source match; not popularity
23,osm_node_10875254005,eat,Thia Go,53 Phan Thúc Duyện,https://www.openstreetmap.org/node/10875254005,2023-05-07T09:42:57Z,price_text;opening_hours;phone;website,,wv_789d8829524560a9,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.9836,heuristic gaps + attributable-source match; not popularity
23,osm_way_485212452,stay,Furama Resort,"105 Võ Nguyên Giáp, Ngũ Hành Sơn, Da Nang",https://www.openstreetmap.org/way/485212452,2025-08-11T08:14:24Z,price_text;opening_hours,price_text,wv_183212b48152ad88,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.914,heuristic gaps + attributable-source match; not popularity
23,osm_way_360113559,stay,InterContinental Danang Sun Peninsula Resort,"Bai Bac, Son Tra peninsula, Đà Nẵng",https://www.openstreetmap.org/way/360113559,2024-11-05T07:25:51Z,price_text;opening_hours,price_text,wv_8591753c978378d4,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.8817,heuristic gaps + attributable-source match; not popularity
23,osm_node_10747827206,stay,Rom Casa Hostel,47 Đường An Thượng 4,https://www.openstreetmap.org/node/10747827206,2023-03-20T08:20:22Z,price_text;phone,phone;price_text,wv_d328f8923136adbd,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.9965,heuristic gaps + attributable-source match; not popularity
23,osm_node_2985700733,stay,Sanouva Danang Hotel,"68 Đường Phan Châu Trinh, Hải Châu, Đà Nẵng",https://www.openstreetmap.org/node/2985700733,2022-06-24T03:59:44Z,price_text;opening_hours,price_text,wv_9c5d7dcd48bb8382,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.9521,heuristic gaps + attributable-source match; not popularity
22,osm_node_4782419524,eat,Happy Heart Cafe,57 Ngô Thi Sỹ;Đường Ngô Thì Sĩ,https://www.openstreetmap.org/node/4782419524,2025-09-23T13:26:55Z,price_text;opening_hours;website,,wv_236c609b00be6888,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.9844,heuristic gaps + attributable-source match; not popularity
22,osm_node_7064981285,eat,Mộc Quán,26 Đường Tô Hiến Thành,https://www.openstreetmap.org/node/7064981285,2026-01-01T07:10:30Z,price_text;opening_hours;website,,wv_4a835dfc234ee531,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.6969,heuristic gaps + attributable-source match; not popularity
22,osm_way_1050159061,stay,Sala Danang Beach Hotel,"36-38 Lam Hoanh Street, Son Tra District",https://www.openstreetmap.org/way/1050159061,2025-05-15T07:13:25Z,price_text;opening_hours;phone,,wv_1c60e357a393c68a,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.9864,heuristic gaps + attributable-source match; not popularity
20,osm_node_11361153194,eat,Ngoi Café,205/85 Nguyễn Văn Yhoại,https://www.openstreetmap.org/node/11361153194,2026-04-08T14:19:11Z,price_text;phone;website,,wv_ab097083b52aa565,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,1.0,heuristic gaps + attributable-source match; not popularity
20,osm_node_4166666089,stay,Danang Backpackers Hostel,106 Nguyễn Chí Thanh,https://www.openstreetmap.org/node/4166666089,2016-05-05T02:06:46Z,price_text,price_text,wv_999ede21a5c44760,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.8597,heuristic gaps + attributable-source match; not popularity
19,osm_node_4313932192,eat,Kangaroo Bar - Burger,218 Hồ Nghinh,https://www.openstreetmap.org/node/4313932192,2020-02-08T10:47:18Z,price_text;website,,wv_bf975daf30efc2f6,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.9146,heuristic gaps + attributable-source match; not popularity
19,osm_node_4430077491,eat,Mi Quang 1A,Hải Phòng,https://www.openstreetmap.org/node/4430077491,2017-02-07T10:19:26Z,price_text;website,,wv_bbaefb8187c18eff,https://en.wikivoyage.org/w/index.php?title=Da_Nang&oldid=5289731,0.9908,heuristic gaps + attributable-source match; not popularity
12,osm_node_13108908653,eat,Buffet Mogu Mogu,,https://www.openstreetmap.org/node/13108908653,2025-08-30T15:48:40Z,price_text;opening_hours;address;phone;website,,,,,heuristic gaps + attributable-source match; not popularity
12,osm_node_13525505845,eat,Cóm Bà Tí,,https://www.openstreetmap.org/node/13525505845,2026-02-06T05:35:16Z,price_text;opening_hours;address;phone;website,,,,,heuristic gaps + attributable-source match; not popularity
12,osm_node_7089176543,eat,Pho Bo,,https://www.openstreetmap.org/node/7089176543,2019-12-27T16:16:34Z,price_text;opening_hours;address;phone;website,,,,,heuristic gaps + attributable-source match; not popularity
12,osm_node_6125276059,eat,Temple Da Nang,,https://www.openstreetmap.org/node/6125276059,2023-01-08T09:33:50Z,price_text;opening_hours;address;phone;website,,,,,heuristic gaps + attributable-source match; not popularity
12,osm_way_1109970009,see,Nhà thờ Saint Denis,,https://www.openstreetmap.org/way/1109970009,2026-05-19T17:53:39Z,price_text;opening_hours;address;phone;website,,,,,heuristic gaps + attributable-source match; not popularity
12,osm_node_4761152563,see,Tượng Mẹ Âu Cơ,,https://www.openstreetmap.org/node/4761152563,2026-05-19T04:13:44Z,price_text;opening_hours;address;phone;website,,,,,heuristic gaps + attributable-source match; not popularity
12,osm_node_7194600275,stay,River Sunset Garden Villas & Homestay,,https://www.openstreetmap.org/node/7194600275,2020-02-08T05:08:37Z,price_text;opening_hours;address;phone;website,,,,,heuristic gaps + attributable-source match; not popularity
11,osm_way_1109970012,eat,Trú Vũ Trà Quán,,https://www.openstreetmap.org/way/1109970012,2026-03-28T19:43:31Z,price_text;opening_hours;address;phone,,,,,heuristic gaps + attributable-source match; not popularity
